facility_id,facility_mw,cooling_type,utilization_pct,electricity_rate_usd_kwh,colocation_usd_kw_month,pue_realized,capex_usd_per_mw,stranded_capacity_pct,stranded_capacity_mw,loss_floor_usd_annual,loss_ceiling_usd_annual,loss_mid_usd_annual,p10_loss_usd,p50_loss_usd,p90_loss_usd,recoverable_value_usd,roi_months
DC-2915,28.46,air-cooled,71.2,0.169,202.69,1.56,10598379.51,12.71,3.617,16872154.24,8797556.76,12834855.5,12085131.95,12848777.96,13550975.73,10267884.4,2.5
DC-2916,72.16,hybrid,45.3,0.1132,180.28,1.296,12901327.66,9.88,7.129,29600440.48,15422593.44,22511516.96,20845046.69,22936352.61,25076612.62,18009213.57,3.6
DC-2917,14.29,air-cooled,76.0,0.1291,147.71,1.591,10909766.24,12.62,1.803,7615294.78,3195853.56,5405574.17,5015777.73,5358951.61,5716754.17,4324459.34,3.0
DC-2918,28.08,air-cooled,77.4,0.1089,185.22,1.558,10051049.78,12.92,3.628,13495588.7,8063737.92,10779663.31,10216724.0,10822607.02,11479626.89,8623730.65,2.9
DC-2919,17.79,hybrid,92.1,0.1005,189.43,1.194,14026523.32,8.89,1.582,6594059.02,3596139.12,5095099.07,4604612.5,5111695.03,5613795.09,4076079.26,3.9
DC-2920,46.37,air-cooled,69.7,0.1065,178.26,1.684,11393128.71,12.03,5.578,22885849.81,11932011.36,17408930.58,16357275.11,17565301.54,18683568.17,13927144.46,3.0
DC-2921,9.25,air-cooled,76.9,0.0784,171.24,1.574,10750854.6,12.03,1.113,3862195.5,2287081.44,3074638.47,3038814.32,3232786.7,3468143.38,2459710.78,3.4
DC-2922,29.84,air-cooled,61.7,0.1471,186.39,1.55,11135858.48,12.59,3.757,16801150.03,8403206.76,12602178.4,11748031.65,12473023.0,13295339.69,10081742.72,2.7
DC-2923,14.07,hybrid,67.7,0.0754,169.87,1.312,14306416.23,9.59,1.349,5457763.77,2749855.56,4103809.66,3377509.09,3744191.99,4091649.47,3283047.73,3.9
DC-2924,15.62,air-cooled,53.7,0.1147,212.09,1.584,11164044.25,12.94,2.021,8230436.75,5143606.68,6687021.72,6029189.08,6418324.72,6866726.59,5349617.38,2.6
DC-2925,17.7,air-cooled,69.7,0.0964,206.75,1.545,11069715.13,12.4,2.195,8263370.7,5445795.0,6854582.85,6483740.5,6918996.54,7399941.13,5483666.28,2.9
DC-2926,20.12,air-cooled,68.3,0.1023,193.87,1.577,10454528.51,12.22,2.459,9187940.27,5720715.96,7454328.12,7314576.02,7768023.61,8265891.25,5963462.5,3.0
DC-2927,14.98,hybrid,75.6,0.1475,185.35,1.248,13376951.59,8.67,1.299,5956170.52,2889235.8,4422703.16,4173796.73,4597539.22,5051795.36,3538162.53,3.8
DC-2928,19.53,hybrid,64.5,0.124,174.1,1.229,14472768.73,8.16,1.594,7254548.7,3330184.8,5292366.75,5083989.07,5680827.53,6241478.75,4233893.4,4.2
DC-2929,58.12,hybrid,73.0,0.1007,183.69,1.259,13601648.91,8.49,4.934,20393173.44,10875917.52,15634545.48,14752805.63,16419989.3,18187564.94,12507636.38,4.2
DC-2930,36.17,air-cooled,68.0,0.1082,208.59,1.658,11718176.15,12.18,4.406,18397449.51,11028570.48,14713010.0,13691979.07,14585069.55,15507097.31,11770408.0,2.8
DC-2931,32.96,air-cooled,68.0,0.1047,197.03,1.639,11030756.04,12.06,3.975,15719233.01,9398331.0,12558782.0,12089303.12,12950311.58,13746629.15,10047025.6,3.0
DC-2932,11.42,air-cooled,73.0,0.1191,187.06,1.631,10973379.16,13.0,1.485,6148162.99,3333409.2,4740786.1,4265503.73,4522401.15,4805383.33,3792628.88,2.7
DC-2933,8.07,air-cooled,72.5,0.1235,197.86,1.518,11845709.43,12.89,1.04,4445629.09,2469292.8,3457460.94,3108439.78,3298327.29,3481164.86,2765968.75,2.6
DC-2934,35.31,air-cooled,81.1,0.1579,192.18,1.625,10519951.35,12.89,4.551,20868489.75,10495334.16,15681911.96,14418103.03,15311809.83,16280554.62,12545529.57,2.5
DC-2935,33.14,air-cooled,70.6,0.0817,189.94,1.598,10055188.8,12.49,4.139,13982213.42,9433939.92,11708076.67,11342750.14,12113657.17,12928974.36,9366461.34,3.2
DC-2936,53.42,air-cooled,67.8,0.1193,198.71,1.529,11473821.99,12.43,6.64,27540377.35,15833212.8,21686795.08,20328322.31,21635833.23,22936631.48,17349436.06,2.8
DC-2937,10.14,hybrid,69.8,0.1137,191.76,1.207,12796576.9,8.04,0.815,3297384.25,1875412.8,2586398.52,2697099.63,2974620.74,3276408.57,2069118.82,4.4
DC-2938,13.69,air-cooled,63.4,0.1389,196.88,1.523,10508537.49,12.21,1.672,7002941.47,3950200.32,5476570.9,5434938.95,5754960.99,6108566.76,4381256.72,2.8
DC-2939,4.43,hybrid,67.7,0.1271,186.42,1.242,13490008.04,9.19,0.407,1782911.28,910475.28,1346693.28,1187388.61,1323712.92,1458253.77,1077354.62,3.7
DC-2940,12.01,air-cooled,96.4,0.1318,180.19,1.565,11903911.08,12.24,1.47,6544752.37,3178551.6,4861651.99,4511733.21,4813713.09,5142127.02,3889321.59,2.8
DC-2941,36.5,air-cooled,61.0,0.1269,175.78,1.557,10919784.37,12.18,4.446,18484015.84,9378214.56,13931115.2,13559805.84,14430295.59,15315141.65,11144892.16,2.9
DC-2942,11.32,air-cooled,68.7,0.1014,173.99,1.648,11002918.44,12.12,1.372,5363082.23,2864571.36,4113826.8,3925990.15,4187378.97,4468443.87,3291061.44,3.1
DC-2943,27.45,air-cooled,67.4,0.1442,159.92,1.539,11252446.54,12.31,3.379,15018290.44,6484436.16,10751363.3,10263444.51,10910247.77,11595638.85,8601090.64,2.9
DC-2944,14.12,air-cooled,69.0,0.136,170.32,1.556,11578728.96,12.68,1.79,7923984.6,3658473.6,5791229.1,5252681.85,5612641.15,5988208.09,4632983.28,2.7
DC-2945,21.31,air-cooled,68.0,0.1383,169.89,1.609,11134963.89,12.25,2.61,11545994.79,5320954.8,8433474.8,8036254.4,8488022.27,9035523.29,6746779.84,2.8
DC-2946,6.57,liquid-cooled,75.4,0.1453,176.39,1.052,17903439.5,2.7,0.177,941207.62,374652.36,657929.99,552609.32,853198.38,1135595.79,526343.99,11.2
DC-2947,17.6,hybrid,51.5,0.1284,207.43,1.243,13266905.97,8.68,1.528,6641158.38,3803436.48,5222297.43,4950668.29,5454405.95,5977016.74,4177837.94,3.8
DC-2948,1.5,air-cooled,84.4,0.1496,181.64,1.587,11264238.93,12.84,0.193,884503.82,420678.24,652591.03,591846.98,626941.97,667313.78,522072.82,2.6
DC-2949,14.16,hybrid,79.6,0.1276,187.63,1.233,12570724.05,9.95,1.409,5877942.27,3172448.04,4525195.15,3811331.35,4276478.62,4685150.54,3620156.12,3.5
DC-2950,4.46,hybrid,57.1,0.1156,188.1,1.2,12610627.31,8.93,0.398,1598984.43,898365.6,1248675.01,1175863.39,1308463.54,1439655.46,998940.01,4.0
DC-2951,43.15,hybrid,44.8,0.1199,207.81,1.223,13139253.95,10.16,4.384,18432003.95,10932468.48,14682236.22,13513873.34,14742728.31,16270811.84,11745788.98,3.3
DC-2952,30.63,hybrid,60.3,0.1195,175.37,1.268,14452553.94,9.86,3.02,13707920.17,6355408.8,10031664.48,7984573.76,8892819.12,9767358.46,8025331.58,3.4
DC-2953,23.89,air-cooled,69.1,0.1096,180.66,1.537,10388624.61,12.78,3.053,11553317.69,6618659.76,9085988.72,8544581.79,9140799.12,9716684.82,7268790.98,3.0
DC-2954,55.52,air-cooled,98.0,0.1526,182.41,1.59,11150483.38,12.73,7.068,32536541.67,15471286.56,24003914.12,22157150.22,23507590.59,24817701.39,19203131.3,2.6
DC-2955,7.7,air-cooled,78.5,0.1259,201.05,1.615,10956953.63,12.24,0.942,3971506.14,2272669.2,3122087.67,2983307.94,3179105.38,3356311.95,2497670.14,2.8
DC-2956,66.55,air-cooled,50.3,0.1219,204.16,1.504,11825087.35,12.57,8.365,35416026.14,20493580.8,27954803.47,25703041.74,27448381.62,29112286.17,22363842.78,2.7
DC-2957,34.67,air-cooled,63.7,0.1278,191.12,1.488,10808142.39,12.91,4.476,18206877.87,10265437.44,14236157.66,13267718.52,14095535.26,14990906.9,11388926.13,2.7
DC-2958,13.61,hybrid,71.4,0.1796,202.49,1.202,14220287.14,9.02,1.228,6202831.36,2983892.64,4593362.0,4096549.99,4522611.43,4979169.5,3674689.6,3.3
DC-2959,40.79,liquid-cooled,75.0,0.0974,186.66,1.091,15381757.95,2.87,1.171,5092720.94,2622946.32,3857833.63,3249580.59,4907980.01,6736475.06,3086266.9,11.9
DC-2960,6.79,liquid-cooled,56.2,0.1031,181.41,1.054,16489769.36,4.07,0.276,1274104.21,600829.92,937467.06,569843.37,826797.17,1132901.6,749973.65,8.1
DC-2961,8.5,liquid-cooled,70.4,0.0924,201.68,1.062,18433818.91,2.4,0.204,1011026.55,493712.64,752369.6,709122.61,1070536.7,1435813.89,601895.68,12.7
DC-2962,10.11,hybrid,63.4,0.1153,191.31,1.239,13636189.76,8.94,0.904,3870646.93,2075330.88,2972988.9,2713944.67,2983173.52,3286162.9,2378391.12,3.8
DC-2963,10.77,liquid-cooled,58.8,0.1249,172.97,1.079,18466499.58,4.45,0.479,2531144.43,994231.56,1762688.0,870408.23,1380178.64,1801561.52,1410150.4,6.9
DC-2964,7.06,air-cooled,75.1,0.1107,198.96,1.572,10029122.03,12.5,0.882,3310245.22,2105792.64,2708018.93,2617809.7,2802708.11,2979752.94,2166415.14,2.9
DC-2965,43.75,air-cooled,81.3,0.1092,180.87,1.559,11294516.42,12.49,5.464,21862663.16,11859284.16,16860973.66,15738865.35,16755004.53,17862837.24,13488778.93,2.9
DC-2966,13.37,air-cooled,82.1,0.1228,179.04,1.615,11222353.65,12.99,1.737,7349519.86,3731909.76,5540714.81,4944796.91,5265194.6,5600050.29,4432571.85,2.7
DC-2967,21.8,hybrid,78.9,0.11,197.4,1.2,12893235.6,8.45,1.842,7407572.55,4363329.6,5885451.07,5782412.62,6397636.03,7042861.76,4708360.86,4.2
DC-2968,10.42,air-cooled,66.0,0.1262,182.67,1.572,11627714.52,12.61,1.314,5678847.07,2880340.56,4279593.82,3894259.28,4144598.51,4414801.94,3423675.06,2.7
DC-2969,3.83,hybrid,80.6,0.1423,189.83,1.288,13788276.03,8.3,0.318,1484937.62,724391.28,1104664.45,1057377.62,1171451.42,1298925.77,883731.56,3.9
DC-2970,20.41,air-cooled,75.7,0.1335,193.93,1.661,11926915.39,12.07,2.463,11312309.5,5731795.08,8522052.29,7952486.84,8460471.67,8973924.21,6817641.83,2.7
DC-2971,3.56,air-cooled,73.6,0.1376,172.26,1.601,11208917.55,12.33,0.439,1940677.44,907465.68,1424071.56,1340128.62,1431546.29,1514795.04,1139257.25,2.8
DC-2972,15.57,hybrid,64.7,0.1417,189.77,1.287,13847211.28,9.53,1.484,6937256.09,3379424.16,5158340.12,4289588.47,4769275.06,5287280.28,4126672.1,3.4
DC-2973,5.5,air-cooled,66.0,0.1257,204.24,1.538,10872585.62,12.11,0.666,2737040.99,1632286.08,2184663.54,2140033.15,2275418.97,2425533.78,1747730.83,2.8
DC-2974,80.63,air-cooled,72.9,0.1168,169.65,1.527,10994735.48,12.51,10.087,40405012.6,20535114.6,30470063.6,28521758.99,30736025.64,32640283.66,24376050.88,3.0
DC-2975,34.09,air-cooled,98.0,0.1046,190.75,1.556,11907413.96,12.3,4.193,17073261.05,9597777.0,13335519.02,12287173.19,13115095.14,13952148.54,10668415.22,2.9
DC-2976,17.9,air-cooled,75.6,0.1122,171.56,1.58,10841584.36,12.71,2.275,9013956.61,4683588.0,6848772.3,6309192.34,6750343.97,7175354.14,5479017.84,2.9
DC-2977,45.19,hybrid,64.7,0.1095,199.32,1.223,12942057.36,9.46,4.275,17310068.4,10225116.0,13767592.2,12101686.8,13344431.1,14725438.98,11014073.76,3.7
DC-2978,8.36,air-cooled,62.0,0.1346,199.18,1.541,11674944.1,12.66,1.058,4667281.26,2528789.28,3598035.27,3296155.58,3500777.91,3690877.34,2878428.22,2.6
DC-2979,25.4,hybrid,66.1,0.1269,178.69,1.223,13313520.43,9.07,2.304,9948904.03,4940421.12,7444662.57,6785780.23,7533955.8,8245448.68,5955730.06,3.8
DC-2980,19.3,air-cooled,98.0,0.1339,217.14,1.638,11044610.04,12.32,2.378,10405349.96,6196307.04,8300828.5,7826716.51,8312474.5,8792005.36,6640662.8,2.6
DC-2981,20.31,hybrid,67.2,0.0968,200.6,1.194,13898942.97,9.65,1.96,8038210.46,4718112.0,6378161.23,5387609.76,5893641.57,6486815.49,5102528.98,3.6
DC-2982,45.51,air-cooled,82.9,0.1486,194.6,1.597,11001348.27,12.87,5.857,26494821.56,13677266.4,20086043.98,18308565.87,19436878.1,20679249.99,16068835.18,2.5
DC-2983,29.55,hybrid,67.5,0.1115,193.76,1.238,13815405.21,8.72,2.577,11027741.07,5991834.24,8509787.66,7924917.29,8667265.06,9486548.02,6807830.13,3.9
DC-2984,20.72,hybrid,75.1,0.098,198.76,1.213,13586265.47,9.34,1.935,7857079.78,4615207.2,6236143.49,5409997.09,5990526.07,6621605.67,4988914.79,3.7
DC-2985,4.38,air-cooled,81.5,0.1112,169.07,1.484,10859998.84,12.34,0.54,2083814.25,1095573.6,1589693.92,1539241.59,1646247.88,1750721.94,1271755.14,3.1
DC-2986,7.63,liquid-cooled,65.1,0.1697,186.92,1.101,16780124.84,3.7,0.282,1513108.34,632537.28,1072822.81,672891.01,1013994.59,1396250.84,858258.25,8.0
DC-2987,14.91,hybrid,64.3,0.1122,189.75,1.274,12601622.86,9.0,1.342,5438508.1,3055734.0,4247121.05,3925642.24,4357969.73,4809575.01,3397696.84,3.9
DC-2988,17.72,air-cooled,91.9,0.1135,178.0,1.559,10909354.84,12.87,2.281,9065497.86,4872216.0,6968856.93,6344126.02,6807931.51,7235002.59,5575085.54,2.9
DC-2989,6.66,air-cooled,83.8,0.1162,190.97,1.637,10753038.01,12.54,0.835,3386664.76,1913519.4,2650092.08,2481592.81,2634247.63,2801718.29,2120073.66,2.8
DC-2990,113.22,liquid-cooled,81.5,0.117,202.48,1.056,18498220.81,4.62,5.231,27164746.5,12710074.56,19937410.53,9771753.11,14522356.03,19704497.27,15949928.42,6.4
DC-2991,55.32,hybrid,81.4,0.1044,177.67,1.26,12474011.35,8.71,4.818,18907412.12,10272168.72,14589790.42,13920217.75,15433474.85,17156276.02,11671832.34,4.3
DC-2992,26.62,air-cooled,77.5,0.1229,183.18,1.531,10099417.87,12.83,3.415,13293214.67,7506716.4,10399965.54,9899635.41,10528187.19,11214549.85,8319972.43,2.9
DC-2993,17.42,air-cooled,96.2,0.1415,171.69,1.61,11048409.32,12.95,2.256,10041143.48,4647991.68,7344567.58,6606786.67,7044276.66,7480312.46,5875654.06,2.7
DC-2994,13.88,hybrid,72.5,0.1263,157.2,1.207,13354833.84,9.09,1.262,5430576.78,2380636.8,3905606.79,3519577.26,3933132.87,4306586.49,3124485.43,4.0
DC-2995,7.68,hybrid,78.9,0.0978,195.68,1.247,13540320.41,9.32,0.716,2919346.73,1681282.56,2300314.64,1998594.29,2216472.56,2424946.66,1840251.71,3.8
DC-2996,17.5,hybrid,54.6,0.1131,183.61,1.272,13304913.44,8.76,1.533,6464490.93,3377689.56,4921090.24,4559547.09,5102635.42,5606774.43,3936872.19,4.0
DC-2997,20.21,air-cooled,62.1,0.109,184.71,1.546,10425215.12,12.0,2.425,9197775.5,5375061.0,7286418.25,7269905.87,7804295.42,8303215.96,5829134.6,3.1
DC-2998,6.09,hybrid,57.6,0.1211,169.2,1.263,13317872.52,8.84,0.538,2313057.34,1092355.2,1702706.27,1577789.67,1732704.55,1897765.98,1362165.02,4.0
DC-2999,21.48,air-cooled,87.3,0.1466,181.22,1.462,10690439.3,12.9,2.771,11785553.38,6025927.44,8905740.41,8370570.02,8885140.11,9394208.4,7124592.33,2.7
DC-3000,14.52,air-cooled,41.4,0.117,200.45,1.543,10699988.83,13.82,2.007,7946168.3,4827637.8,6386903.05,6288877.03,6717005.91,7065392.74,5109522.44,2.6
DC-3001,3.57,hybrid,67.2,0.1182,184.01,1.267,13172535.76,8.44,0.301,1275975.88,664644.12,970310.0,942002.15,1046587.05,1154347.11,776248.0,4.1
DC-3002,8.26,liquid-cooled,36.1,0.1556,184.44,1.091,17371711.92,6.65,0.549,2935763.51,1215090.72,2075427.11,1577984.51,1935157.4,2322483.26,1660341.69,4.5
DC-3003,11.81,air-cooled,62.0,0.1375,187.11,1.488,11595534.41,12.65,1.494,6527407.65,3354508.08,4940957.86,4572203.68,4886921.93,5148598.14,3952766.29,2.7
DC-3004,74.45,air-cooled,66.1,0.1315,165.45,1.576,10434811.14,12.94,9.634,39829888.21,19127343.6,29478615.9,27214000.86,28994160.67,31051466.65,23582892.72,2.8
DC-3005,25.67,hybrid,88.6,0.1592,193.37,1.243,13259049.41,9.15,2.349,10993163.28,5450713.56,8221938.42,7361629.01,8158510.35,8965952.7,6577550.74,3.5
DC-3006,5.65,air-cooled,76.8,0.1298,165.17,1.556,10478614.44,12.29,0.694,2843892.41,1375535.76,2109714.08,2053738.02,2202389.37,2337603.64,1687771.26,3.0
DC-3007,24.26,hybrid,62.0,0.0803,169.91,1.283,13075708.8,9.41,2.283,8694146.15,4654854.36,6674500.26,5844266.36,6469137.67,7149367.2,5339600.21,4.1
DC-3008,4.77,hybrid,84.8,0.1367,168.26,1.242,13271935.01,9.22,0.44,1952105.74,888412.8,1420259.27,1259836.01,1401044.19,1533258.23,1136207.42,3.8
DC-3009,39.1,air-cooled,72.2,0.0882,181.37,1.684,10732421.93,12.66,4.95,18246169.95,10773378.0,14509773.98,13400846.94,14279485.38,15250070.01,11607819.18,3.0
DC-3010,11.28,liquid-cooled,72.5,0.129,178.71,1.07,18881170.24,4.27,0.482,2605189.95,1033658.64,1819424.3,947319.57,1412180.02,1919746.59,1455539.44,7.0
DC-3011,15.26,hybrid,57.6,0.0857,183.98,1.234,12662840.66,8.12,1.239,4634315.8,2735414.64,3684865.22,3837130.99,4217967.3,4665900.54,2947892.18,4.7
DC-3012,47.5,liquid-cooled,60.1,0.1107,170.42,1.057,18835195.91,2.7,1.283,6685207.26,2623786.32,4654496.79,3728315.69,5991720.27,7925976.67,3723597.43,11.5
DC-3013,5.87,hybrid,62.1,0.1127,199.08,1.28,13145005.09,8.42,0.494,2067288.63,1180146.24,1623717.44,1568435.54,1745451.86,1929074.48,1298973.95,4.1
DC-3014,5.38,liquid-cooled,72.6,0.1046,196.51,1.073,18623345.31,3.63,0.195,998732.82,459833.4,729283.11,454718.05,691295.31,921976.03,583426.49,8.3
DC-3015,10.31,air-cooled,72.9,0.113,181.39,1.595,10701411.4,12.41,1.279,5060939.08,2783973.72,3922456.4,3752087.24,3990505.16,4230100.65,3137965.12,3.0
DC-3016,37.74,air-cooled,90.5,0.1407,176.82,1.62,10948113.96,12.1,4.567,20230056.51,9690443.28,14960249.9,14488758.97,15343877.51,16353013.35,11968199.92,2.8
DC-3017,4.88,liquid-cooled,76.6,0.1057,175.31,1.082,15758643.57,4.27,0.208,936786.08,437573.76,687179.92,398471.46,593587.89,806852.05,549743.94,8.0
DC-3018,1.71,air-cooled,39.5,0.1309,179.35,1.517,11234202.41,14.47,0.247,1046294.24,531593.4,788943.82,753293.88,801006.79,852728.26,631155.06,2.4
DC-3019,11.46,air-cooled,75.2,0.1007,163.0,1.644,10819192.72,12.18,1.396,5380868.12,2730576.0,4055722.06,3882555.56,4147596.4,4439500.2,3244577.65,3.2
DC-3020,25.57,hybrid,54.6,0.1162,169.61,1.251,13699302.43,9.49,2.427,10479051.45,4939721.64,7709386.54,6573356.67,7241545.26,7975639.58,6167509.23,3.7
DC-3021,42.96,hybrid,60.4,0.1265,196.9,1.319,13012962.01,8.62,3.703,16120662.4,8749448.4,12435055.4,11789779.52,12967834.03,14264005.5,9948044.32,3.9
DC-3022,11.35,air-cooled,62.3,0.1001,188.53,1.545,11272222.5,12.87,1.461,5639038.87,3305307.96,4472173.42,4043021.22,4317212.66,4578957.7,3577738.74,2.9
DC-3023,11.83,liquid-cooled,64.0,0.0938,208.51,1.062,15886227.76,3.93,0.465,2047351.05,1163485.8,1605418.42,986919.83,1524265.1,2059084.47,1284334.74,8.3
DC-3024,41.39,hybrid,55.5,0.1298,179.51,1.295,13786218.08,8.81,3.646,16538551.97,7853921.52,12196236.74,11083791.88,12193984.24,13318037.88,9756989.39,3.8
DC-3025,3.68,air-cooled,74.4,0.1425,178.58,1.603,11062848.42,12.84,0.473,2109313.07,1013620.08,1561466.58,1409485.19,1504359.43,1598570.59,1249173.26,2.7
DC-3026,12.05,hybrid,55.1,0.1184,177.88,1.267,13852141.49,8.42,1.015,4458251.28,2166578.4,3312414.84,3124309.72,3485707.85,3816921.96,2649931.87,4.1
DC-3027,19.15,air-cooled,76.3,0.1109,179.21,1.544,11864555.53,12.02,2.302,9522313.22,4950497.04,7236405.13,6888404.72,7340153.88,7850818.83,5789124.1,3.0
DC-3028,23.56,air-cooled,98.0,0.1231,174.1,1.503,10904761.59,12.33,2.905,11747963.57,6069126.0,8908544.78,8588170.37,9192652.94,9750710.02,7126835.82,3.0
DC-3029,10.94,air-cooled,56.0,0.1211,188.06,1.462,11221962.16,12.99,1.421,5747535.18,3206799.12,4477167.15,4087363.78,4362613.47,4642192.27,3581733.72,2.7
DC-3030,16.9,air-cooled,68.6,0.1249,184.44,1.57,11504838.05,12.63,2.134,9121581.04,4723139.52,6922360.28,6320197.48,6749745.55,7171555.39,5537888.22,2.7
DC-3031,2.25,air-cooled,41.7,0.0694,176.35,1.566,9851601.4,14.45,0.325,1020917.64,687765.0,854341.32,831036.4,881905.82,940436.28,683473.06,3.0
DC-3032,9.71,hybrid,68.4,0.0986,202.77,1.249,13106328.44,8.82,0.856,3416573.08,2082853.44,2749713.26,2564239.31,2825260.27,3097905.36,2199770.61,4.0
DC-3033,23.64,hybrid,79.7,0.1031,212.45,1.234,14242392.9,9.84,2.326,9954048.86,5929904.4,7941976.63,6407033.91,7103945.52,7780979.11,6353581.3,3.3
DC-3034,7.49,hybrid,80.6,0.123,201.5,1.305,14244627.03,8.61,0.645,2948671.73,1559610.0,2254140.87,2065909.08,2256769.29,2485380.51,1803312.7,3.7
DC-3035,17.24,hybrid,72.9,0.1237,192.37,1.235,13321132.76,9.41,1.622,6972187.35,3744289.68,5358238.51,4646410.39,5170196.44,5687428.09,4286590.81,3.6
DC-3036,23.51,air-cooled,82.7,0.1327,195.43,1.551,11370016.44,12.87,3.026,13101470.58,7096454.16,10098962.37,9138242.19,9731904.85,10363487.21,8079169.9,2.6
DC-3037,12.5,air-cooled,98.0,0.1252,211.85,1.673,10637582.23,12.68,1.585,6655055.61,4029387.0,5342221.3,4925640.34,5255420.24,5584997.78,4273777.04,2.6
DC-3038,18.85,liquid-cooled,92.5,0.094,195.4,1.069,18455803.84,4.53,0.854,4254241.23,2002459.2,3128350.22,1557867.0,2353483.14,3171242.59,2502680.18,6.8
DC-3039,7.61,air-cooled,65.7,0.1489,175.22,1.515,11464225.23,12.2,0.928,4198009.44,1951249.92,3074629.68,2951873.65,3144944.08,3361303.82,2459703.74,2.8
DC-3040,13.94,air-cooled,54.6,0.1454,189.88,1.602,11453834.33,12.9,1.798,8245215.04,4096850.88,6171032.96,5551784.27,5861078.36,6212962.0,4936826.37,2.5
DC-3041,26.79,hybrid,67.1,0.0948,193.39,1.238,13259416.37,9.6,2.572,10222752.46,5968788.96,8095770.71,6919651.67,7697571.38,8488669.62,6476616.57,3.7
DC-3042,18.65,air-cooled,60.6,0.1267,169.08,1.539,10687475.43,12.26,2.286,9334008.5,4638202.56,6986105.53,6811988.59,7298914.14,7750203.75,5588884.42,3.0
DC-3043,10.29,liquid-cooled,77.4,0.1081,179.73,1.069,18186751.51,2.68,0.276,1394847.78,595265.76,995056.77,844831.47,1324121.3,1728193.19,796045.42,11.6
DC-3044,19.68,air-cooled,57.8,0.1228,200.51,1.589,11048032.73,12.61,2.482,10336165.34,5971989.84,8154077.59,7590314.41,8058235.91,8509729.81,6523262.07,2.7
DC-3045,29.13,air-cooled,71.1,0.1411,156.65,1.541,10868181.73,12.56,3.659,15806451.79,6878188.2,11342320.0,10713441.56,11434163.69,12163524.49,9073856.0,2.9
DC-3046,3.19,air-cooled,82.1,0.1626,165.24,1.551,10929850.87,12.04,0.384,1781016.16,761425.92,1271221.04,1258644.29,1332931.37,1406988.22,1016976.83,2.8
DC-3047,41.57,hybrid,70.8,0.135,181.35,1.282,14013868.02,8.7,3.617,16747744.8,7871315.4,12309530.1,11248818.56,12448234.35,13595182.32,9847624.08,3.8
DC-3048,12.57,air-cooled,60.6,0.1259,189.31,1.495,9904041.24,12.39,1.557,5993997.9,3537068.04,4765532.97,4783497.99,5081218.04,5396517.86,3812426.38,3.0
DC-3049,23.11,air-cooled,86.1,0.1132,163.64,1.51,10797883.89,12.87,2.974,11589362.98,5839984.32,8714673.65,8080547.06,8615878.68,9186969.26,6971738.92,3.0
DC-3050,42.85,liquid-cooled,49.5,0.1236,182.1,1.066,17910263.88,3.95,1.693,8692294.08,3699543.6,6195918.84,3676475.52,5538873.09,7426064.26,4956735.07,7.8
DC-3051,5.49,liquid-cooled,68.1,0.1472,201.31,1.065,17424447.84,4.39,0.241,1264138.32,582188.52,923163.42,469384.15,725187.5,998293.61,738530.74,6.7
DC-3052,9.32,air-cooled,71.5,0.1191,185.03,1.568,11378160.03,12.23,1.14,4747415.42,2531210.4,3639312.91,3439529.21,3689003.22,3901882.88,2911450.33,2.9
DC-3053,13.05,air-cooled,72.2,0.1023,198.09,1.571,10854887.96,12.09,1.578,6028032.32,3751032.24,4889532.28,4780729.52,5094205.01,5406123.67,3911625.82,3.0
DC-3054,8.78,air-cooled,74.2,0.0876,175.12,1.559,11640467.46,12.59,1.105,4180336.25,2322091.2,3251213.72,2961110.88,3148166.79,3366049.77,2600970.98,3.0
DC-3055,65.89,liquid-cooled,79.3,0.1303,171.85,1.091,17872815.86,4.44,2.926,15265043.84,6033997.2,10649520.52,5535406.49,8432307.33,11203799.53,8519616.42,7.0
DC-3056,8.29,liquid-cooled,71.6,0.1249,196.73,1.043,18891186.05,3.79,0.314,1676512.78,741278.64,1208895.71,729450.62,1086041.5,1427264.38,967116.57,7.7
DC-3057,10.54,air-cooled,67.6,0.1071,189.54,1.613,11579958.55,12.01,1.266,5173678.99,2879491.68,4026585.34,3840673.02,4081018.95,4352661.64,3221268.27,2.9
DC-3058,19.37,hybrid,67.1,0.1405,166.22,1.233,14175929.73,9.52,1.844,8607346.39,3678116.16,6142731.28,5096231.01,5639633.83,6311760.22,4914185.02,3.5
DC-3059,6.29,air-cooled,64.7,0.1116,171.99,1.66,11391071.91,12.43,0.782,3248578.05,1613954.16,2431266.1,2227860.31,2375230.72,2534222.57,1945012.88,2.9
DC-3060,11.98,air-cooled,81.5,0.1173,207.47,1.56,11205316.59,12.57,1.506,6164126.12,3749397.84,4956761.98,4609883.98,4915139.12,5210681.43,3965409.58,2.7
DC-3061,21.2,air-cooled,64.2,0.1197,170.13,1.565,11073825.14,12.79,2.711,11120156.59,5534669.16,8327412.88,7609066.82,8141340.97,8688581.35,6661930.3,2.9
DC-3062,12.6,air-cooled,82.2,0.113,198.01,1.575,10535184.58,12.24,1.542,6014128.65,3663977.04,4839052.85,4739448.54,5037183.26,5325326.85,3871242.28,2.9
DC-3063,15.26,air-cooled,72.2,0.1247,176.83,1.511,11167997.36,12.15,1.854,7661379.28,3934113.84,5797746.56,5617945.49,5993747.4,6390323.25,4638197.25,3.0
